date,temperature,city
2016-08-23,25.0,Waihee
2016-08-24,25.0,Waihee
2016-08-25,26.7,Waihee
2016-08-26,26.7,Waihee
2016-08-27,23.9,Waihee
2016-08-28,22.8,Waihee
2016-08-29,25.6,Waihee
2016-08-30,25.0,Waihee
2016-08-31,25.6,Waihee
2016-09-01,26.7,Waihee
2016-09-02,26.7,Waihee
2016-09-03,25.6,Waihee
2016-09-04,25.6,Waihee
2016-09-05,25.6,Waihee
2016-09-06,22.8,Waihee
2016-09-07,23.3,Waihee
2016-09-08,26.7,Waihee
2016-09-09,26.1,Waihee
2016-09-10,25.0,Waihee
2016-09-11,26.7,Waihee
2016-09-12,24.4,Waihee
2016-09-13,26.1,Waihee
2016-09-14,23.9,Waihee
2016-09-15,26.1,Waihee
2016-09-16,25.6,Waihee
2016-09-17,26.1,Waihee
2016-09-18,25.6,Waihee
2016-09-19,25.6,Waihee
2016-09-20,24.4,Waihee
2016-09-21,23.3,Waihee
2016-09-22,25.0,Waihee
2016-09-23,25.6,Waihee
2016-09-24,26.1,Waihee
2016-09-25,26.1,Waihee
2016-09-26,25.0,Waihee
2016-09-27,26.7,Waihee
2016-09-28,25.6,Waihee
2016-09-29,25.6,Waihee
2016-09-30,25.6,Waihee
2016-10-01,25.0,Waihee
2016-10-02,26.1,Waihee
2016-10-03,26.1,Waihee
2016-10-04,26.1,Waihee
2016-10-05,26.1,Waihee
2016-10-06,23.9,Waihee
2016-10-07,24.4,Waihee
2016-10-08,22.8,Waihee
2016-10-09,22.2,Waihee
2016-10-10,21.7,Waihee
2016-10-11,25.0,Waihee
2016-10-12,26.1,Waihee
2016-10-13,25.6,Waihee
2016-10-14,26.1,Waihee
2016-10-15,25.0,Waihee
2016-10-16,26.1,Waihee
2016-10-17,25.0,Waihee
2016-10-18,25.6,Waihee
2016-10-19,25.6,Waihee
2016-10-20,25.6,Waihee
2016-10-21,25.6,Waihee
2016-10-22,25.0,Waihee
2016-10-23,23.3,Waihee
2016-10-24,23.9,Waihee
2016-10-25,24.4,Waihee
2016-10-26,22.8,Waihee
2016-10-27,24.4,Waihee
2016-10-28,23.3,Waihee
2016-10-29,25.0,Waihee
2016-10-30,24.4,Waihee
2016-10-31,24.4,Waihee
2016-11-01,23.3,Waihee
2016-11-02,23.9,Waihee
2016-11-03,23.9,Waihee
2016-11-04,23.9,Waihee
2016-11-05,23.9,Waihee
2016-11-06,21.7,Waihee
2016-11-07,17.2,Waihee
2016-11-08,21.1,Waihee
2016-11-09,20.0,Waihee
2016-11-10,19.4,Waihee
2016-11-11,25.0,Waihee
2016-11-12,23.3,Waihee
2016-11-13,25.0,Waihee
2016-11-14,24.4,Waihee
2016-11-15,24.4,Waihee
2016-11-16,23.9,Waihee
2016-11-17,24.4,Waihee
2016-11-18,23.9,Waihee
